"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","233","3.627","42.1","48.5","6.9","0.9",".","0.4","0.9","0.4",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","232","3.637","49.6","32.3","12.9","3.4","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Women & the Humanities","310","004","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Gender, Women & Society","320","001","37","3.486","35.1","45.9","10.8",".","2.7",".","2.7",".",".",".",".",".","2.7",".",".","."
"Black Feminisms","333","001","25","3.604","36.0","48.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","4.0"
"Topics in LGBTQ Sexuality","340","001","26","2.846","19.2","23.1","26.9","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"Transgender History","346","001","42","3.639","42.9","28.6","9.5","4.8",".",".",".","2.4",".",".",".",".","11.9",".",".","."
"Topics in Gender & Literature","350","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","53","3.558","56.6","11.3","20.8","7.5",".","1.9",".",".",".",".",".",".",".","1.9",".","."
"Women & Gender in US to 1870","353","001","8","3.250","37.5","12.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","002","19","3.421","21.1","52.6","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Women-African Diaspora&Africa","367","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women and the Law","422","001","19","3.444","26.3","31.6","36.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Gender & Expressive Culture","428","001","42","3.940","92.9","4.8",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","11","3.318",".","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminism&Soc&Culturl Theory","449","001","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brazillian Women Writers","450","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","533","002","45","3.872","86.7","6.7",".",".",".",".","2.2","4.4",".",".",".",".",".",".",".","."
"","533","003","39","3.921","87.2","7.7",".","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"Spec Topics-Women & Health","","Course Total","84","3.895","86.9","7.1",".","1.2",".",".","1.2","2.4",".",".",".",".","1.2",".",".","."
"Women's Global Health","535","001","45","3.744","62.2","33.3",".",".","4.4",".",".",".",".",".",".",".",".",".",".","."
"","545","001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","545","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fem Thry&Women Writng-","","Course Total","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intersectionality","547","001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Education","560","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Adv Smr in LGBT St (Capstone)","642","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship-Gender&Women's Std","660","002","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","699","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","13","3.800","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn Studies","720","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
