"Exploring Pharmacy I","125
001","17","3.882","76.5","23.5",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Selected Topics in Pharmacy","490
001","18","3.889","88.9","5.6",".","5.6",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Safety & Quality-Med Use Sys","608
001","144","3.778","63.9","29.9","4.9","0.7","0.7","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"IP Public Health Leadership","758
001","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PHARMACY
726","Dept. Total","181","3.794","68.0","26.5","3.9","1.1","0.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","14","3.893","78.6","21.4",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","17","3.882","76.5","23.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","162","3.786","66.7","27.2","4.3","1.2","0.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","164","3.787","67.1","26.8","4.3","1.2","0.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","181","3.794","68.0","26.5","3.9","1.1","0.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
