"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","460
003","","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","Course Total","","29","3.103","24.1","24.1","31.0","10.3","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"Philos, Poli, & Econ Seminar","461
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The First Amendment","470
001","","54","3.400","18.5","38.9","33.3","1.9",".",".",".","3.7",".",".",".",".",".","3.7",".","."
"Prosem: Topics in Poli Sci","601
004","","30","3.600","63.3","20.0","3.3","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Comparative Politics of Sport","635
001","","20","3.350","35.0","25.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Israeli Politics and Society","665
001","","38","3.237","21.1","23.7","42.1","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis Smr","684
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdy Abroad-Pol Sci:CmpartvPol","690
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","799
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Stat Computing-Poli Sci","811
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stat Inference Pol Research","813
001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Identities: Def&Measure","814
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory&Political Analysis","835
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Politicl Economy","864
001","","10","3.556","30.0","40.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Public Management","878
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fed Budget&Tax Policy&Admin","890
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","900
002","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-American Politics","904
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Time Series Analysis","917
001","","13","3.955","76.9","7.7",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","919
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
003","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","919
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem-Adv Methodology","Course Total","","14","3.864","57.1","21.4",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"Seminar-Political Theory","931
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Feminist Political Theory","933
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Domestic Pol of Intl Relations","940
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","948
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","948
002","","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Smr:Topics in Comp Politics","Course Total","","14","3.792","50.0","35.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Political Theory Workshop","986
001","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1",".",".","."
"Comparative Politic Colloquium","987
001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"International Relations Wkshop","988
001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 299 of 426",""
