"MED","","","","","","","","","","","","","","","","","","","",""
"REHABILITATION MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","","","","","",""
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehabilitatn Med Clerk-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
