"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","114","3.615","60.5","23.7","5.3","5.3","1.8","0.9","1.8","0.9",".",".",".",".",".",".",".","."
"","299
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intro-Systematic Investigtn","302
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322
001","67","3.940","89.6","9.0","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
001","76","3.664","50.0","32.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
323","79","3.652","45.6","39.2","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","Course Total","155","3.658","47.7","36.1","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","76","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","79","3.848","72.2","25.3","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","Course Total","155","3.890","79.4","19.4","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","76","3.855","71.1","28.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
325","79","3.880","77.2","21.5","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in Hlth Care Stgs","Course Total","155","3.868","74.2","25.2","0.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
001","157","",".",".",".",".",".",".",".",".",".","98.7","0.6",".",".",".",".","0.6"
"Hlt Ill Indiv Fam Exp Lrng II","327
001","156","",".",".",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".","."
"Legal&Social Forces-Nursing","401
001","151","3.444","21.2","54.3","17.9","5.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415
001","151","3.887","82.1","14.6","2.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","59","3.797","83.1","13.6",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","419
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","67","3.821","85.1","11.9",".",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422
001","84","3.417","19.0","51.2","23.8","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","001
449","84","3.970","95.2","3.6","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","4","***","","","","","","","","","","","","","","","",""
"Culturally Congruent Practice","510
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Health","517
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605
001","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Mental Health Care","674
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Nrsg Hnrs Rsrch Sem","679
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 403 of 426",""
