"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"","740
006","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
007","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
008","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","41","3.902","87.8","4.9","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
008","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","50","3.900","82.0","16.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
742","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
007","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
008","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","52","3.942","90.4","7.7","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
006","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
007","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
008","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","43","3.953","90.7","9.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
006","","53","3.821","79.2","9.4","7.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","760
007","","56","3.902","82.1","16.1","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
008","","50","3.940","94.0","2.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","760
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
