"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"646
Cancer Genetics Risk Assess","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","296","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Practicum-Genetic Counselng","005","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Contemp Pro Iss-Gen Cnslng","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Embryology & Prenatal Genetics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"745
Smr: Med Genetic Counsel Rsrch","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","042","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","29","3.448","34.5","20.7","44.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"814
Adv Pract-Genetic Counselng","005","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","7","3.933","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting Inpt Internship-Peds","Course Total","","3","***","","","","","","","","","","","","","","","",""
"940","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"950
Ped Endocr/DiabetesClrk-CSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Clin Genetics Clerk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"970","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 381 of 426",""
