"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"404","001","","326","3.216","27.6","26.7","22.7","13.5","7.4","1.2","0.9",".",".",".",".",".",".",".",".","."
"404","002","","62","3.197","32.3","16.1","30.6","9.7","4.8","3.2","1.6","1.6",".",".",".",".",".",".",".","."
"Pathophys Princ-Hum Disease","Course Total","","388","3.213","28.4","25.0","24.0","12.9","7.0","1.5","1.0","0.3",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"750
Cellulr & Moleclr Biol/Path","001","","20","3.813","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"807
Immunopathology","001","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"809
Moleculr Mechanisms of Disease","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","009","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","28","3.952","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 379 of 426",""
