"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Wages and the Labor Market","450","001","113","3.084","13.3","29.2","30.1","19.5","7.1",".","0.9",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","94","3.315","36.2","17.0","24.5","14.9","6.4",".",".","1.1",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458","001","44","3.659","56.8","25.0","11.4","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","29","3.810","72.4","20.7","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","38","3.446","36.8","18.4","36.8","5.3",".",".",".","2.6",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468","001","88","3.314","25.0","37.5","19.3","12.5","5.7",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","26","3.077","30.8","11.5","30.8","3.8","19.2","3.8",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503","001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","87","3.190","25.3","21.8","24.1","23.0","5.7",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","23","3.304","26.1","30.4","30.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","44","3.558","45.5","27.3","18.2","4.5","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","17","3.735","70.6","5.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","12","3.208","33.3","41.7",".","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"Issues-International Finance","666","001","33","2.833","24.2","9.1","30.3","6.1","24.2",".","6.1",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","14","3.500","57.1","21.4","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","699","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomics I","702","001","81","3.488","24.7","48.1","27.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","001","85","3.494","31.8","35.3","32.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics II","708","001","86","3.570","43.0","31.4","22.1","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","37","3.459","32.4","29.7","35.1","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","713","001","43","3.465","25.6","44.2","27.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","714","001","29","3.397","31.0","31.0","27.6","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometrics","717","001","30","3.783","56.7","43.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","002","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Microecon Theory","809","001","7","3.842","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Macroeconomic Theory","810","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Advances-Economics","899","001","10","3.962","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 214 of 426",""
