"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","11","3.500","27.3","36.4","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"812","044","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Primary Care Clrkshp","Course Total","","58","3.614","44.8","31.0","22.4",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"913","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extram Elect-Preventive Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922
Extramur Elect-Family Med","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Extramur Elect-Neurology","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"937","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"937","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"937","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"937","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramural Elect-Intl Health","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"957
TRIUMPH IV: Adv Seminar","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"SR MED
882","Dept. Total","","85","3.650","44.7","21.2","17.6",".",".",".",".","14.1",".",".",".",".","2.4",".",".","."
