"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"970","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"970","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Rheumatology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","203","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","208","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","209","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
