"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","066","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","200","3.987","92.5","1.5","0.5",".",".",".",".",".",".",".",".",".","4.0",".","1.5","."
"750
Research Methods-Sociology","001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Intermediate Classical Theory","001","","25","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"901
Smr: Topics in Current Soc","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"904
Sociological Perspectvs-Gender","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"908","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"908","002","","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Smr-Sociology of Education","Course Total","","10","3.813","50.0","30.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"910
Teaching Sociology","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"913
Seminar-Social Change","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","001","","8","3.833","62.5",".","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"924","002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Political Sociology","Course Total","","16","3.821","62.5","18.8","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"925
Soc-Econ Chng-Underdev Area","001","","10","3.813","20.0","10.0",".",".",".",".",".","40.0",".",".",".",".","30.0",".",".","."
"945
Seminar-Rural Sociology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955","001","","18","3.794","66.7","16.7","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"955","002","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Smr-Qualitative Methodology","Course Total","","26","3.833","69.2","15.4","7.7",".",".",".",".","3.8",".",".",".",".","3.8",".",".","."
"977
Seminar-Human Ecology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"983
Research: Economic Sociology","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","14","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 305 of 403",""
