"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Pharm Practice Experience II","426
001","","134","3.791","73.1","19.4","4.5","1.5","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","490
003","","38","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","62","3.952","90.3","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience IV","526
056","","134","3.910","82.8","14.9","1.5",".",".",".",".",".",".",".",".",".","0.7",".",".","."
"Pharmacotherapy II","556
001","","132","2.932","4.5","25.0","36.4","23.5","9.8",".","0.8",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570
001","","133","3.579","39.1","39.1","21.1",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608
001","","138","3.174","7.2","39.9","34.8","16.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"Intro - Phm Prac Experience VI","626
056","","132","3.886","89.4","3.8","5.3","0.8",".",".","0.8",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650
001","","71","3.514","43.7","26.8","19.7","8.5","1.4",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656
001","","134","3.362","24.6","38.1","24.6","10.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"","664
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Veterinary Therapeutics","670
001","","16","3.682","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","672
001","","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","672
003","","17","3.765","82.4",".","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","47","3.872","85.1","8.5","4.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar:Global Health Pharmacy","673
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminars-Psychiatric Pharmacy","674
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679
001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","22","3.974","90.9","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Geriatric Pharmacotherapy","710
001","","24","3.729","58.3","33.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","740
005","","24","3.750","83.3","8.3","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","740
006","","23","3.783","69.6","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","47","3.766","76.6","12.8","8.5",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"","741
005","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","42","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","","78","3.821","71.8","21.8","5.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
