"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"699","079","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.925","83.3",".",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"904
Sociological Perspectvs-Gender","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Soc-Econ Chng-Underdev Area","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"977
Seminar-Human Ecology","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"993
Research:Soc of Econ Chnge","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
