"","760
006","76","3.889","82.9","13.2","2.6","1.3",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","154","3.854","77.3","17.5","3.9","1.3",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","8","3.938","87.5","12.5",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
028","8","3.833","87.5",".","12.5",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"PHM PRAC
728","Dept. Total","1480","3.616","56.2","21.6","14.0","5.5","1.5","",".","0.3","",".","",".","0.9","",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","6","3.750","66.7","16.7","16.7",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","8","3.810","75.0","12.5","12.5",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","26","3.587","69.2","15.4","7.7","7.7",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","162","3.804","71.0","17.9","3.7","1.2","1.2","",".","0.6","",".","",".","4.3","",".","",".",".",".",".","."
"Prof Yr 2","","400","3.261","42.5","26.3","19.5","7.8","3.5","",".","0.3","",".","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 3","","630","3.517","51.9","22.7","16.3","7.0","0.8","",".","0.2","",".","",".","1.0","",".","",".","0.2",".",".","."
"Prof Yr 4","","254","3.838","77.2","14.6","6.7","0.8","0.4","",".","0.4","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1446","3.615","55.9","21.7","14.1","5.5","1.5","",".","0.3","",".","",".","0.9","",".","",".","0.1",".",".","."
"","Dept. Total","1480","3.616","56.2","21.6","14.0","5.5","1.5","",".","0.3","",".","",".","0.9","",".","",".","0.1",".",".","."
