"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"Independent Study","699
103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
002","","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","9","3.278",".","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","9","3.222",".","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
009","","8","3.438",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","61","3.410","13.1","55.7","31.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","910
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab Rsch-Anesthesiology-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","919
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","9","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","920
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ANESTHES
148","Dept. Total","","75","3.500","22.7","46.7","25.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
