"CLINICAL LABORATORY SCIEN","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","",""
"Prin of Clin Lab Instr I","404","001","","21","3.548","33.3","42.9","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory Procedures","510","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514","001","","23","3.370","30.4","21.7","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology II","516","001","","21","3.357","23.8","28.6","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Select&Eval-Meas & Contrl Proc","520","001","","21","3.548","28.6","52.4","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry II","526","001","","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagosis-Infec Disease II","536","001","","23","3.217","17.4","34.8","34.8",".","13.0",".",".",".",".",".",".",".",".",".",".","."
"The Breast","544","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Genitourinary System","545","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Gastrointestinal System","546","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Effusions","547","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Central Nervous System","548","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Miscellaneous Systems","549","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","570","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Diagnostics","","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","573","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lab Operatns & Qual Contrl","625","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues Seminar","640","001","","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLNLABSC
628","","Dept. Total","","234","3.557","48.3","29.5","18.4","2.1","1.7",".",".",".",".",".",".",".",".",".",".","."
