"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","19","2.643",".","21.1","21.1","10.5","15.8",".","5.3","15.8",".",".",".",".","10.5",".",".","."
"Black Music&Am Cultrl Hist","156","001","255","3.516","29.4","33.3","24.3","1.2",".",".",".","11.4",".",".",".",".","0.4",".",".","."
"","199","007","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","20","3.935","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","004","93","3.242","38.7","15.1","25.8","6.5","6.5","3.2","2.2","2.2",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","85","3.167","20.0","18.8","42.4","5.9","5.9","2.4",".","4.7",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","10","2.750","30.0","20.0",".","10.0","30.0",".","10.0",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","26","3.239","15.4","23.1","42.3","3.8","3.8",".",".","11.5",".",".",".",".",".",".",".","."
"Black Women in America","324","001","15","3.250","33.3","6.7","13.3","20.0","6.7",".",".","13.3",".",".",".",".","6.7",".",".","."
"Artistc/Cult Image-Bl Women","366","001","15","3.423","33.3","26.7","13.3","6.7","6.7",".",".","6.7",".",".",".",".","6.7",".",".","."
"Mus Cultr: Afr, Eur, Amers","400","001","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","11","3.227","18.2","36.4","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Black Arts Movement","603","001","16","3.321","50.0","12.5","6.3","6.3",".","12.5",".",".",".",".",".",".","12.5",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Afr Am Women's Activism 19-20C","624","001","9","2.571","11.1","11.1","22.2","11.1","11.1",".","11.1","11.1",".",".",".",".","11.1",".",".","."
"Afro-Am Hist Since 1900","636","001","28","2.232","3.6","21.4","21.4","10.7","21.4",".","21.4",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","13","3.538","53.8","7.7","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","15","2.750","20.0","6.7","26.7","13.3","20.0",".","6.7",".",".",".",".",".","6.7",".",".","."
"Topics in Afro-Am Society","673","001","16","3.267",".","50.0","43.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Mod/Cntmp Art-Nigeria&Diaspora","678","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","790","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
