"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","96","3.126","29.2","17.7","28.1","11.5","7.3","3.1","2.1",".",".",".",".",".",".",".",".","1.0"
"Speech Science","201","001","71","2.782","12.7","22.5","26.8","18.3","8.5","5.6","5.6",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","74","3.342","37.8","25.7","17.6","9.5","5.4","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","127","3.694","64.6","22.0","7.1","2.4","1.6","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","153","3.474","58.8","13.7","13.1","2.0","6.5","4.6","0.7",".",".",".",".",".",".","0.7",".","."
"Voice, Craniofac & Fluency Dis","318","001","101","3.208","10.9","43.6","32.7","9.9","1.0",".","2.0",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","99","3.737","73.7","11.1","10.1","3.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","38","3.658","52.6","31.6","13.2",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","390","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","105","3.786","66.7","26.7","4.8","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Manual Coded English-SL II","434","001","38","3.934","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","52","3.413","23.1","38.5","36.5","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","681","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","682","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Lang&Cogntv-Com Dis in Adults","704","001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","706","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","709","001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Capstone: Com Dis-Ped Populatn","750","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis in Adults","752","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","790","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 186 of 403",""
