"COMMUNICATIVE DISORDERS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"","790","007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","","42","3.974","85.7","4.8",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"","799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","12","3.893","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediatric Audiology","832","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn","836","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory & Vestibular Path I","837","001","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Audiol: Diag & Rehab","849","001","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Sci II: Adv Topics","851","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems I","856","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Amplification Systems I","857","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology I","858","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Physiol Assess Aud Sys I","859","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Management","865","001","","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems II","866","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Mthds for Audiologists","867","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology I","891","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology II","892","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology III","893","001","","9","3.750","33.3",".","11.1",".",".",".",".",".",".",".",".",".","55.6",".",".","."
"Externship in Audiology","894","001","","7","3.875","42.9","14.3",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"","899","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","","Course Total","","10","3.940","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","900","002","","14","3.975","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","006","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Seminar-Speech Science","","Course Total","","29","3.986","93.1","3.4",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Smr-Prob in Voice Disorders","913","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Prob in Audiology","921","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Language & Cognition","945","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","Page 187 of 403",""
