"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","20","3.550","65.0","15.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"414
Pharmacy in Health Care System","001","","133","2.955","18.0",".","60.2",".","21.1","0.8",".",".",".",".",".",".",".",".",".","."
"511
Pharmacy Law and Regulation","001","","136","2.985","5.9","24.3","39.0","22.8","8.1",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"631
Pharmacist Services Management","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","132","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Social Organization-Pharmacy","001","","9","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"716
Adv Hospital Phm Admin","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Conference-Research Workers","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","482","3.250","33.4","15.4","30.9","6.6","8.5","0.4",".","2.9",".",".",".",".","1.9",".",".","."
