"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","206","2.939","20.9","5.8","33.5","23.8","13.6","1.5","0.5",".","0.5",".",".",".",".",".",".","."
"","365
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610
001","37","3.243","32.4","13.5","35.1","8.1","10.8",".",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","615
001","54","3.602","35.2","50.0","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650
001","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci, Risk Mgmt & Ins I","920
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","3","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","343","3.160","30.0","15.5","27.4","15.2","9.3","0.9","0.3","1.2","0.3",".",".",".",".",".",".","."
