"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","31","3.887","83.9","9.7","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","94","3.457","47.9","22.3","18.1","2.1","5.3","2.1","1.1",".",".",".",".",".","1.1",".",".","."
"Introduction-Social Policy","206
001","96","3.302","32.3","32.3","13.5","11.5","9.4",".","1.0",".",".",".",".",".",".",".",".","."
"","401
002","12","3.780","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","14","3.963","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","8","3.931","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","12","3.800","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","6","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","15","3.941","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","10","3.952","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
016","10","3.840","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
018","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","019
401","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","134","3.880","85.1","10.4","3.0","0.7",".",".","0.7",".",".",".",".",".",".",".",".","."
"","440
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
002","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","440
003","12","3.545","33.3","50.0",".",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","28","3.630","60.7","28.6",".",".","3.6",".","3.6",".",".",".",".",".","3.6",".",".","."
"","441
001","16","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","28","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","21","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","24","3.667","37.5","58.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","19","3.711","47.4","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
005","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","106","3.797","61.3","36.8","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","214","3.500","30.4","41.1","17.3","2.3","2.8",".",".","6.1",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","94","3.602","45.7","40.4","7.4","2.1","2.1",".","1.1",".",".",".",".",".","1.1",".",".","."
"Child Welfare","462
001","23","3.386","13.0","52.2","26.1","4.3",".",".",".",".",".",".",".",".",".","4.3",".","."
"Homelessness: Service Learning","578
001","22","3.068","31.8","27.3","22.7","4.5",".","4.5","9.1",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","48","3.635","50.0","27.1","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","26","3.788","84.6","11.5",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","640
003","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
004","32","3.781","65.6","28.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","103","3.825","75.7","20.4","1.9","1.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"","644
001","29","3.788","55.2","31.0","3.4",".",".",".",".",".",".",".",".",".","10.3",".",".","."
"","644
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","30","3.796","56.7","30.0","3.3",".",".",".",".",".",".",".",".",".","10.0",".",".","."
