"","919
017","","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","919
043","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individualized 4th Yr Clerk","Course Total","","9","4.000","55.6",".",".",".","",".","",".","",".","44.4","",".",".","",".","",".","",".",".",".","."
"Clin Anesthes Clerkship-CSC","920
002","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ANESTHES
148","Dept. Total","","75","3.500","22.7","46.7","25.3",".","",".","",".","",".","5.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","25","3.460","16.0","60.0","24.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","48","3.511","25.0","39.6","27.1",".","",".","",".","",".","8.3","",".",".","",".","",".","",".",".",".","."
"Professionals","","","73","3.493","21.9","46.6","26.0",".","",".","",".","",".","5.5","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","75","3.500","22.7","46.7","25.3",".","",".","",".","",".","5.3","",".",".","",".","",".","",".",".",".","."
