"MEDICAL HISTORY AND BIOETH Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","",""
"212
The Physician in History","001","","48","3.319","16.7","39.6","31.3","10.4",".",".",".",".",".",".",".",".","2.1",".",".","."
"331
Science, Medicine&Religion","001","","14","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"509
Dev Public Health-America","001","","9","3.222","33.3","22.2","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"523
Race, Amer Med & Pub Health","001","","11","3.550","45.5","27.3","9.1",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"558
Ethical Issues in Health Care","001","","25","3.583","36.0","44.0","12.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"559","001","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"559","002","","17","3.500","47.1","23.5","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","Course Total","","24","3.500","50.0","20.8","16.7","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Regenerative Medicine Ethics","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"668","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"668","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"668","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"668","005","","15","3.714","53.3","33.3",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Topics in History of Med","Course Total","","24","3.674","50.0","33.3","8.3","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"890
Reading and Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","","179","3.523","41.9","30.2","17.3","4.5","1.7","0.6",".","2.2",".",".",".",".","1.7",".",".","."
