"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","156","3.916","89.7","7.1","1.3","0.6",".",".","0.6","0.6",".",".",".",".",".",".",".","."
"Independent Reading","299
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","113","3.938","90.3","7.1","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
302","24","3.813","75.0","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","156","3.926","89.1","7.7","2.6","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","63","3.841","73.0","22.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","86","3.849","73.3","23.3","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","133","3.541","32.3","49.6","12.8","4.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"","312
002","24","3.417","8.3","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","Course Total","157","3.522","28.7","52.2","14.6","3.8","0.6",".",".",".",".",".",".",".",".",".",".","."
"","319
001","134","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","319
002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","158","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","332
001","133","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","24","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","157","3.841","72.0","24.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","130","3.888","80.8","16.9","1.5","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","153","3.892","81.0","17.0","1.3","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","129","3.934","92.2","3.9","2.3","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","152","3.941","92.8","3.9","2.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","62","3.927","87.1","11.3","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
001","65","3.962","93.8","4.6","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","88","3.966","94.3","4.5","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in School Nursing","472
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
003","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","590
021","21","3.100","9.5","19.0","47.6","19.0",".",".",".",".",".",".",".",".",".",".","4.8","."
"Contemp Practices-Nursing","Course Total","53","3.449","50.9","7.5","18.9","7.5",".",".",".","13.2",".",".",".",".",".",".","1.9","."
"Adv Practicum for CNS","606
001","13","",".",".",".",".",".",".",".","92.3",".",".",".",".","7.7",".",".","."
"","613
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
011","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
023","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 384 of 403",""
