"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"404
Pathophys Princ-Hum Disease","001","","349","3.072","17.5","24.6","30.9","15.5","7.4","2.0","1.1","0.3","0.3",".",".",".",".",".","0.3","."
"654
Method Validation Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Quality Control Basics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Quality Control Projects","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.941","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","36","3.556","27.8","58.3","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","31","",".",".",".",".",".",".",".",".",".","87.1","12.9",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","12","3.893","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 359 of 403",""
