"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"725
Career Couns & Job Placemnt","001","","23","3.705","60.9","13.0","21.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"735
Legal&Ethical Bases - Coun&Psy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"802
Spec St-Indiv w/Disablties","001","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"820
Rehab Cnslg Psy-Theor & Iss","001","","21","3.559","19.0","52.4","9.5",".",".",".",".",".",".",".",".",".","19.0",".",".","."
"840
Rehab Cnslg Psych-Grp Proc","001","","8","3.833","62.5",".","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"860
Rehab Cnsl Psych-Clin Prac","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Rehab Cnsl Psych-Cnsl Supvn","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Adv Prof Pract","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"983
Smr:Profsnl Issues-RehabPsy","001","","12","3.583","58.3",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Indv/Disblty:Adv Rsch Mthds","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","21","",".",".",".",".",".",".",".","38.1",".",".",".","61.9",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
