"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","374","3.208","21.7","24.3","34.8","13.1","3.7","1.1","0.3","1.1",".",".",".",".",".",".",".","."
"Contemporary Amer Society","125
001","159","3.022","17.6","25.2","22.6","18.2","11.3","1.9","1.3","1.3",".",".",".",".",".",".","0.6","."
"","131
002","130","2.746","6.9","13.1","35.4","22.3","17.7","3.8","0.8",".",".",".",".",".",".",".",".","."
"","131
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Criminal Justice in America","Course Total","135","2.781","10.4","12.6","34.1","21.5","17.0","3.7","0.7",".",".",".",".",".",".",".",".","."
"","134
001","198","3.062","17.2","25.3","23.2","20.2","10.6","1.5",".","2.0",".",".",".",".",".",".",".","."
"","066
134","97","3.212","22.7","36.1","10.3","14.4","9.3","2.1",".","5.2",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","295","3.101","19.0","28.8","19.0","18.3","10.2","1.7",".","3.1",".",".",".",".",".",".",".","."
"The Sociology of Gender","138
001","84","3.399","45.2","29.8","13.1","4.8","1.2","1.2","4.8",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140
001","13","3.462","53.8","15.4","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","139","3.113","23.0","24.5","22.3","12.9","7.9","5.0",".","2.9","0.7",".",".",".","0.7",".",".","."
"Population Problems","170
001","49","3.531","40.8","38.8","14.3","2.0","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","198
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","101","4.000","97.0",".",".",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","199
066","28","3.950","92.9",".","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","199
081","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","132","3.989","95.5","0.8","0.8",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","62","2.926","29.0","17.7","16.1","9.7","14.5","8.1","3.2","1.6",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","140","3.137","31.4","26.4","19.3","7.9","7.1","1.4","5.7","0.7",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","86","3.418","45.3","23.3","20.9","3.5","1.2","1.2","3.5",".",".",".",".",".","1.2",".",".","."
"Contemp Chinese Society","225
001","72","3.173","30.6","19.4","29.2","5.6","9.7","1.4","2.8","1.4",".",".",".",".",".",".",".","."
"Technology and Society","245
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","7","2.929","42.9",".","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","20","3.100","15.0","30.0","35.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","357
001","26","2.865","26.9","19.2","15.4","15.4","11.5","3.8","7.7",".",".",".",".",".",".",".",".","."
"","357
002","21","3.711","61.9","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","20","3.632","60.0","20.0","10.0",".",".","5.0",".",".",".",".",".",".","5.0",".",".","."
"","357
004","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
005","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
006","17","3.563","52.9","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"","357
007","18","3.000","11.1","16.7","44.4","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","357
008","19","2.684","5.3","15.8","57.9","5.3",".","5.3","10.5",".",".",".",".",".",".",".",".","."
"","357
009","14","3.179","28.6","28.6","14.3","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","173","3.325","38.7","23.7","21.4","5.8","5.2","1.7","2.3",".",".",".",".",".","0.6","0.6",".","."
"","360
001","32","3.547","56.3","15.6","12.5","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"","360
002","27","2.796","11.1","18.5","29.6","14.8","18.5","7.4",".",".",".",".",".",".",".",".",".","."
"","360
003","30","3.117","30.0","23.3","23.3","6.7","10.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","89","3.174","33.7","19.1","21.3","11.2","10.1","3.4","1.1",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","16","2.781","12.5","18.8","31.3","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 303 of 403",""
