"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Methods-Social Wrk Research","650
001","73","2.792","8.2","24.7","27.4","19.2","9.6","6.8","2.7",".",".",".",".",".","1.4",".",".","."
"","656
001","18","3.935","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656
002","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","24","3.783","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","662
001","19","3.769","68.4","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","664
001","25","3.797","76.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","672
001","20","3.650","60.0","20.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","672
002","16","3.563","43.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","Course Total","36","3.611","52.8","25.0","16.7","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","16","3.910","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Human Behavior & Environmnt","711
001","39","3.615","59.0","15.4","15.4","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","742
001","22","3.386","9.1","59.1","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
004","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","742
005","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","46","3.424","23.9","43.5","28.3","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","801
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
003","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
012","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
013","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
014","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
015","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
021","13","3.800","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
022","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
023","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
024","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Field Pract/Integrat Smr IV","Course Total","126","3.909","84.1","12.7","1.6","0.8",".",".",".",".",".",".",".",".","0.8",".",".","."
"Aging and Mental Health","821
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
001","27","3.815","70.4","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","19","3.579","63.2",".","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
