"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","350","2.912","18.0","20.6","22.9","14.6","17.7","4.3","1.1","0.6",".",".",".",".",".",".","0.3","."
"Intro-Amer Politcs&Governmt","104","001","476","2.736","10.3","19.7","27.3","15.8","17.4","4.8","3.8","0.2",".",".",".",".","0.4",".",".","0.2"
"Intro-Comparative Politics","106","001","159","2.949","21.4","18.9","18.2","18.9","16.4","3.1","1.3","1.9",".",".",".",".",".",".",".","."
"Intro-Comp Politics(Honors)","186","001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","125","3.102","12.8","28.0","37.6","12.8","5.6",".","1.6","0.8",".",".",".",".","0.8",".",".","."
"Law, Politics and Society","217","001","44","3.302","15.9","47.7","20.5","11.4",".","2.3",".","2.3",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","93","3.136","18.3","33.3","28.0","6.5","8.6","3.2","1.1","1.1",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","24","3.104","8.3","37.5","25.0","25.0","4.2",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","19","3.026","21.1","15.8","31.6","10.5","21.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","41","3.951","90.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","55","3.227","21.8","25.5","41.8","5.5","3.6",".","1.8",".",".",".",".",".",".",".",".","."
"Comparative Study of Genocide","318","001","170","3.238","27.6","32.4","17.1","15.3","4.7","1.2","1.8",".",".",".",".",".",".",".",".","."
"China in World Politics","346","001","147","3.408","30.6","34.0","23.1","4.1","3.4","1.4",".","2.0",".",".",".",".","0.7",".","0.7","."
"Theories-Internationl Security","367","001","69","3.669","49.3","37.7","7.2","4.3",".",".",".",".",".",".",".",".","1.4",".",".","."
"Topics in Political Science","400","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","401","002","39","3.395","33.3","25.6","25.6","10.3","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"State Gov & Public Policy","405","001","26","3.360","19.2","38.5","30.8","7.7",".",".",".","3.8",".",".",".",".",".",".",".","."
"The American Presidency","408","001","140","3.209","15.0","34.3","34.3","5.7","5.0",".","1.4","3.6",".",".",".",".",".","0.7",".","."
"Constitutional Law","412","001","129","3.234","34.1","21.7","25.6","7.8","4.7","3.1","2.3","0.8",".",".",".",".",".",".",".","."
"American Judicial System","417","001","62","3.129","27.4","21.0","27.4","14.5","3.2","4.8","1.6",".",".",".",".",".",".",".",".","."
"Legislative Process","426","001","55","2.991","5.5","34.5","30.9","14.5","10.9",".","1.8","1.8",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Natl Scrty:Polcy&Prcss","442","001","24","3.667","58.3","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Public Administration","443","001","25","3.708","52.0","32.0","12.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","204","3.342","38.2","21.6","20.6","8.8","8.8","1.0",".","1.0",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","467","001","25","3.167","20.0","28.0","24.0","12.0","12.0",".",".",".","4.0",".",".",".",".",".",".","."
"Public Opinion","473","001","43","3.024","7.0","25.6","32.6","30.2","2.3",".",".",".",".",".",".",".",".",".",".","2.3"
"Political Communications","479","001","46","3.076","19.6","17.4","30.4","23.9","8.7",".",".",".",".",".",".",".",".",".",".","."
"Challenge of Democratizatn","505","001","69","3.104","30.4","18.8","27.5","7.2","5.8","1.4","5.8",".",".",".",".",".","1.4",".",".","1.4"
"Radical Political Theory","513","001","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","552","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","552","002","11","3.850","63.6","27.3",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Multivar Stat Infernc-Pol Rsch","","Course Total","14","3.607","50.0","35.7",".",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Intro Stat Computing-Poli Sci","553","001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hist-Amer Political Thought","565","001","72","3.206","23.6","22.2","30.6","5.6","12.5",".",".","4.2",".",".",".",".","1.4",".",".","."
"Transitions to the Market","612","001","39","2.923","17.9","23.1","33.3","12.8","2.6","2.6","7.7",".",".",".",".",".",".",".",".","."
"Political Islam","618","001","30","3.383","23.3","40.0","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Arab-Israeli Conflict","631","001","18","3.333","22.2","38.9","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Russian Politics","633","001","47","3.205","19.1","31.9","21.3","14.9","4.3","2.1",".","4.3",".",".",".",".",".","2.1",".","."
