"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Acute Pharmaceut Care Clerkshp","Course Total","","28","3.821","75.0","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"741","006","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"741","008","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"741","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"741","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"741","272","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","34","3.926","88.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","006","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","008","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","006","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","007","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","34","3.941","94.1","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd
746","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","006","","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","007","","45","3.956","91.1","8.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","008","","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","215","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","280","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","281","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","285","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","293","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","142","3.965","93.0","7.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship
764","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rsrch & Pharm Investig
769","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Sem Hlth-System Pharmacy
962","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study
999","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
