"MEDICAL SCIENCES - MED SCH Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"722
004","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"722
005","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"722
062","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Clinicl Anatomy & Radiology","","44","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Indep Adv Anatomy Dissection
723
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Overview of Rural Health
740
003","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Food, Fasting & Fitness
772
001","","174","",".",".",".",".",".",".",".","98.9","1.1",".",".",".",".",".",".","."
"Human Family Tree
773
001","","173","",".",".",".",".",".",".",".","98.3","0.6",".",".",".","1.2",".",".","."
"SCOPE
810
021","","44","",".",".",".",".",".",".",".","93.2",".",".",".",".",".",".",".","6.8"
"Chronic and Preventive Care
811
021","","37","",".",".",".",".",".",".",".","86.5",".",".",".",".",".",".",".","13.5"
"Acute Care
812
021","","44","",".",".",".",".",".",".",".","97.7","2.3",".",".",".",".",".",".","."
"Surgical and Procedural Care
813
021","","48","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","6.3"
"902
041","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
042","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
043","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
044","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
045","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Ambulatory Acting Internship","","93","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lab-based Teaching in Med Ed
912
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"WARM Internship Prep Elective
913
006","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"IRR Medical Sciences
918
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"American Indian Health
930
101","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
