"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"601","040","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","060","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Health Assessment","Course Total","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses
605","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nrsg Hnrs Rsrch Sem
679","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Nursing
699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"703","001","","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"703","004","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care & Public Policy","Course Total","","32","3.797","68.8","25.0","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Ldrship Practicum II
713","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Health Sys Ldrshp & Innov
714","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Population Health Practicum II
721","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"727","010","","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","020","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"727","060","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","34","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","011","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"729","060","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"729","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"729","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","35","3.931","82.9","14.3",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd
746","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
