"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","20","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"OB/GYN Intern Prep Course
909","105","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"910","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-OB/GYN","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized Ob/Gyn Elective","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecologic Oncology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"935","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Clinical Setting","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"938","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"938","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"938","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Obs Gyn Inpt Acting Internship","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Endocrinlgy-Reprodctve Phys
954","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Responsible Conduct
956","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 392 of 480",""
