"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pathophys Princ-Hum Disease
404","001","","49","3.918","83.7","16.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Cellulr & Moleclr Biol/Path
750","001","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cell/Molecular Bio/Path Sem
752","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immunopathology
807","001","","19","3.447","31.6","26.3","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Moleculr Mechanisms of Disease
809","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Seminar / Journal Club
901","001","","50","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Techniques in Virology
913","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Micro - Identification
914","007","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clin Micro - Methodology
915","008","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clin Micro - Resistance
916","009","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Transfusion Med Customized
921","006","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
