"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Pharm Practice Experience I","426","001","93","3.892","80.6","17.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement I","462","001","92","3.967","96.7","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement III","464","001","96","3.948","95.8","1.0","1.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement IV","465","001","121","3.979","96.7","2.5","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interprof Collab Pract in HIV","467","001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Pharmacy Informatics","468","001","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Equity in Healthcare","469","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Expl Pharm Peer Mentor Seminar","471","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills II","554","001","96","3.932","91.7","5.2","2.1",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556","001","96","3.427","35.4","31.3","17.7","14.6","1.0",".",".",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570","001","97","3.294","25.8","28.9","27.8","13.4","4.1",".",".",".",".",".",".",".",".",".",".","."
"Radiopharmaceuticals","612","001","14","3.846","64.3","28.6",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experience IV","626","056","120","3.913","85.8","11.7","1.7","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation II","629","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills IV","654","001","121","3.963","93.4","5.8","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656","001","122","2.881","11.5","15.6","27.9","27.9","17.2",".",".",".",".",".",".",".",".",".",".","."
"Sem Pediatric Pharmacotherapy","657","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infect Dis Pharm Acute Care","659","001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Critical Care","668","001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Mental Health Care","674","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Oncology","678","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","093","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"","740","006","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","007","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","740","008","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 465 of 480",""
