"RADIOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"832","RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","926
042
1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","","926
046
1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","Interventional Radiology","Course Total
6","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Screening in Radiology","928
010
3","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"832","RADIOL","Dept. Total
160","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"832","RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Prof Yr 3","42","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Prof Yr 4","118","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Professionals","160","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","","Dept. Total
160","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
