"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","152","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","294","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","26","3.973","92.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"Vision Science
750","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med
910","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to the Visual System
911","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Phase 3 Clinical","Course Total","","4","***","","","","","","","","","","","","","","","",""
