"Intro to the Visual System","911
043
2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","919
002
3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","919
006
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Individual Phase 3 Clinical","Course Total
4","***","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","Dept. Total
38","3.978","73.7","2.6","",".","",".","",".","",".","",".","21.1","",".",".",".",".",".",".","2.6","."
"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","8","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","16","3.958","87.5","6.3","",".","",".","",".","",".","",".",".","",".",".",".",".",".",".","6.3","."
"Undergraduates","27","3.974","92.6","3.7","",".","",".","",".","",".","",".",".","",".",".",".",".",".",".","3.7","."
"Special","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","8","",".",".","",".","",".","",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"","Dept. Total
38","3.978","73.7","2.6","",".","",".","",".","",".","",".","21.1","",".",".",".",".",".",".","2.6","."
