"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Intro Public Health
370","001","","274","3.768","70.1","19.3","7.3","1.5","1.5","0.4",".",".",".",".",".",".",".",".",".","."
"Intro-Environmental Health
471","001","","77","3.584","48.1","23.4","26.0","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Regression Methods-Pop Health
552","001","","14","3.577","42.9","21.4","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Intro-Nutritnl Epidemiology
621","002","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicology II
626","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
650","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Translat'l & Outcomes Research
709","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Medicine
728","007","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Climt Chng, Human & Plan Hlth
739","002","","29","3.780","55.2","24.1","6.9",".",".",".",".","10.3",".",".",".",".","3.4",".",".","."
"Principles-Populatn Health Sci
795","002","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Health Services Research
796","001","","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods
798","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiology-Infect Disease
801","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Epidemiology
806","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Netwrk Anlysis & Health
819","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Research Seminar
820","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetic Epidemiology
849","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Eff. Analysis Healthcare
875","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"915","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","20","3.800","15.0","10.0",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
