"TERM : 1244","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2023-2024","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR BIOLOGY","","Section
#","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","Dept. Total
28","3.952","89.3","7.1","",".","",".","",".","",".","",".","",".","",".",".","",".","3.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","5","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
