"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Transnational/Comp Hstry (Hum)","","Course Total","","66","3.433","24.2","40.9","19.7","4.5",".","1.5",".",".",".",".",".",".","1.5",".","6.1","1.5"
"Making the American Landscape","239","001","","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","","32","3.865","71.9","3.1","3.1",".","3.1",".",".","15.6",".",".",".",".",".","3.1",".","."
"Eastern Europe:Interdis Survey","254","001","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","","11","3.833","45.5",".","9.1",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"American Legal History to Pres","262","001","","12","3.292","25.0","41.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"War/Race/Relig: Europe & U.S","269","001","","84","3.846","69.0","4.8",".",".","1.2","2.4",".","22.6",".",".",".",".",".",".",".","."
"Hist Stdy Abrd: European Hist","271","00A","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","15","3.500","53.3","33.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Intermediate Honors Seminar","283","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History at Work","300","001","","30","3.596","76.7","3.3","6.7","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Hist Am Thought 1859-Pres","302","001","","25","3.417","64.0","16.0",".",".","4.0","8.0","4.0",".",".",".",".",".","4.0",".",".","."
"A History of Rome","307","001","","80","3.484","33.8","25.0","8.8","7.5","1.3",".","1.3","22.5",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","","78","3.831","66.7","9.0","5.1","1.3","1.3",".",".","16.7",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","","37","3.633","43.2","21.6","10.8","5.4",".",".",".","18.9",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","321","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of American Capitalism","329","001","","70","3.388","37.1","17.1","4.3","2.9","2.9","2.9","2.9","28.6",".",".",".",".","1.4",".",".","."
"Hist-China 589 AD-1919","337","001","","21","3.500","52.4","23.8","14.3",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Military Hist-United States","345","002","","92","3.575","43.5","18.5","9.8","3.3","3.3","1.1",".","19.6",".",".",".",".","1.1",".",".","."
"French Revolution and Napoleon","358","001","","36","3.534","27.8","36.1","13.9",".","2.8",".",".","19.4",".",".",".",".",".",".",".","."
"Athenian Democracy","362","001","","12","2.958","41.7","8.3","8.3","16.7","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","","58","3.414","25.9","22.4","3.4","3.4","1.7","1.7","1.7","37.9",".",".",".",".","1.7",".",".","."
"Public History Workshop","401","002","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Enlightenm't & Its Critics","411","001","","26","3.382","23.1","26.9","11.5",".",".",".","3.8","30.8",".",".",".",".","3.8",".",".","."
"History-American Education","412","001","","23","3.717","56.5","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Making of Modern South Asia","450","001","","37","3.959","91.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rule of Law:Philos&Hist Models","459","001","","24","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Global Environmental History","465","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Forensic Science","477","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","001","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","500","002","","17","3.676","88.2",".",".","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","500","003","","13","3.950","69.2","7.7",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"","500","004","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","","58","3.821","77.6","6.9","3.4","1.7",".",".","1.7",".",".",".",".",".","8.6",".",".","."
"Legal Pluralism","510","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
