"","921
006
2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","921
012
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","921
044
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Inpatient Neuro ICU Elective","Course Total
4","***","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","Dept. Total
32","3.924","71.9","3.1","3.1","",".","",".","",".","",".","18.8","",".",".",".",".",".",".","3.1","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","22","3.940","90.9",".","4.5","",".","",".","",".","",".",".","",".",".",".",".",".",".","4.5","."
"Undergraduates","26","3.924","88.5","3.8","3.8","",".","",".","",".","",".",".","",".",".",".",".",".",".","3.8","."
"Prof Yr 3","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","6","",".",".",".","",".","",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"","Dept. Total
32","3.924","71.9","3.1","3.1","",".","",".","",".","",".","18.8","",".",".",".",".",".",".","3.1","."
