"PHARMACY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","",""
"Exploring Pharmacy II","126
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Exploration Seminar","225
001","","53","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Genetics and Immunology","434
001","","92","3.620","53.3","27.2","10.9","7.6","1.1",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics in Pharmacy","490
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychedelic History","564
001","","10","3.750","50.0","20.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Pharmacokinetics","621
001","","93","3.500","44.1","25.8","18.3","9.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","632
001","","21","3.875","71.4","23.8",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","632
002","","28","3.518","57.1","25.0","10.7",".",".","3.6","3.6",".",".",".",".",".",".",".",".","."
"Neuroscience of Psychedelics","Course Total","","49","3.667","63.3","24.5","6.1",".",".","2.0","2.0","2.0",".",".",".",".",".",".",".","."
"","640
001","","39","3.974","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","46","3.924","93.5",".","4.3","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Appropriate Use of Abused Drug","Course Total","","85","3.947","94.1","2.4","2.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Specialty Pharmacy","658
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychedelics Science Society","671
001","","69","3.758","73.9","8.7","5.8","1.4",".","1.4","1.4","7.2",".",".",".",".",".",".",".","."
"CNS Drug Principles II","771
001","","39","3.833","71.8","23.1","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioethics & Sci Integrity","Course Total","","42","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
