"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542","001","","95","3.695","56.8","27.4","14.7",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals Anesthesiology I","543","001","","92","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surgery Fundamentals","544","001","","92","3.935","93.5",".","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals Anesthesiology II","545","001","","95","3.932","88.4","9.5","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631","001","","95","3.037","13.7","9.5","60.0","4.2","12.6",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","95","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","95","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","642","001","","36","4.000","27.8",".",".",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"","642","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","","Course Total","","38","4.000","31.6",".",".",".",".",".",".","68.4",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","29","4.000","24.1",".",".",".",".",".",".","75.9",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","645","001","","29","4.000","75.9",".",".",".",".",".",".","24.1",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646","001","","36","4.000","86.1",".",".",".",".",".",".","13.9",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","29","4.000","72.4",".",".",".",".",".",".","27.6",".",".",".",".",".",".",".","."
"","675","002","","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675","006","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","017","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","026","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","027","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","028","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","030","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","031","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","134","4.000","51.5",".",".",".",".",".",".","48.5",".",".",".",".",".",".",".","."
"Special Species Health","676","001","","95","3.895","86.3","6.3","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677","001","","58","4.000","98.3",".",".",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Special Species Rotation","710","001","","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Wildlife Medicine Rotation","711","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SA Radiation Oncology","714","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741","001","","33","4.000","75.8",".",".",".",".",".",".","24.2",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Animal Surgery","746","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750","001","","13","4.000","53.8",".",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 477 of 480",""
