"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof
306","001","","30","3.650","56.7","26.7","6.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"407","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"407","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"407","003","","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","Course Total","","16","3.594","56.3","25.0","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"441","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"441","003","","12","3.125",".","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","15","3.200",".","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"446","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"446","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"447","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"447","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"447","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"453","003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"454","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"454","003","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","052","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","15","3.733","66.7","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RNs
519","001","","8","3.563","75.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
