"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","100
001","80","3.944","95.0","3.8",".",".",".","1.3",".",".",".",".",".",".",".",".",".","."
"","100
002","67","3.903","86.6","10.4","1.5",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"So You Want to Chng the World?","Course Total","147","3.925","91.2","6.8","0.7",".","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","39","3.577","66.7","17.9","5.1","5.1",".",".","5.1",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","50","3.660","70.0","10.0","12.0","2.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","54","3.120","16.7","33.3","27.8","9.3","9.3","3.7",".",".",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","375
001","21","3.619","42.9","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
005","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
012","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
014","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
016","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","401
101","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
102","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","111","3.923","88.3","9.0","1.8","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","442
010","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Substance Use Disorders","453
001","98","3.418","42.9","26.5","15.3","6.1","7.1","2.0",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","69","3.225","17.4","36.2","29.0","14.5","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Interprof Collab Pract in HIV","467
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","47","3.826","63.8","34.0",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","612
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
003","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","612
004","22","3.841","81.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Gnlst Pract","Course Total","75","3.872","82.7","8.0","6.7","1.3",".",".",".",".",".",".",".",".","1.3",".",".","."
"Soc Work in Am Indian Communit","636
001","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","639
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GLBT Issues and Social Welfare","Course Total","22","3.898","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","644
010","45","3.811","77.8","13.3","4.4","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","646
001","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
010","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Child Abuse and Neglect","Course Total","35","3.926","85.7","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"Palliative & End-of-Life SW","648
001","17","3.794","70.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","37","3.297","18.9","51.4","18.9","2.7","2.7","5.4",".",".",".",".",".",".",".",".",".","."
"","656
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 343 of 480",""
