"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","63","3.802","81.0","9.5","4.8","1.6","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Level II Fieldwork A","662
002","30","",".",".",".",".",".",".",".",".",".","96.7","3.3",".",".",".",".","."
"Professnl/Leadership Skills 2","711
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enable Occ 2: Adult Focus","723
001","21","3.524","23.8","57.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level 1 Fieldwork A","726
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living Well 2","732
001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"EBP Lab Practicum","Course Total","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence Based Practice 2","772
001","21","3.500","47.6","14.3","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Capstone","880
002","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Capstone Project II","882
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doc Experiential Component","883
001","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"695
OCC THER","Dept. Total","309","3.815","66.7","7.4","4.5","1.0","0.3","0.3",".",".",".","19.1","0.3",".","0.3",".",".","."
