"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"935","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematology/Oncology Elective","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","041","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","042","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","043","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","044","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","045","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","046","","15","",".",".",".",".",".",".",".","86.7",".",".",".",".","13.3",".",".","."
"Inpt Acting Internship - Med","Course Total","","75","",".",".",".",".",".",".",".","97.3",".",".",".",".","2.7",".",".","."
"940","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy & Clinical Immunology","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"942","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"942","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Electrophysiology","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"943","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiology Consultation Serv","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"945","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"945","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inpatient Cardiology","Course Total","","5","***","","","","","","","","","","","","","","","",""
"949","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
