"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Criminology","441","001","","83","2.975","26.5","16.9","20.5","14.5","9.6","4.8","3.6","3.6",".",".",".",".",".",".",".","."
"Juvenile Delinquency","446","001","","77","3.400","20.8","50.6","19.5","5.2","1.3","1.3",".",".",".",".",".",".",".","1.3",".","."
"","475","001","","26","3.212","23.1","30.8","26.9","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","475","003","","38","3.145","18.4","31.6","21.1","23.7","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","475","004","","32","2.688","25.0","9.4","28.1","9.4","9.4","9.4","9.4",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","96","3.010","21.9","24.0","25.0","15.6","5.2","5.2","3.1",".",".",".",".",".",".",".",".","."
"Topics in Sociology","496","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530","001","","41","3.049","26.8","17.1","19.5","12.2","24.4",".",".",".",".",".",".",".",".",".",".","."
"","530","002","","40","2.625","20.0","7.5","20.0","12.5","27.5","10.0","2.5",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","","81","2.870","23.5","12.3","19.8","12.3","25.9","4.9","1.2",".",".",".",".",".",".",".",".","."
"Sociology of Medicine","531","001","","48","3.588","60.4","20.8","6.3","6.3",".","2.1","2.1",".",".",".",".",".",".",".",".","2.1"
"Small Groups","538","001","","19","3.132","26.3","10.5","31.6","26.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","","34","3.088","20.6","8.8","47.1","14.7","8.8",".",".",".",".",".",".",".",".",".",".","."
"Rur Minority Grp&Povrty-U S","578","001","","12","3.559","41.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Agriculture,Technol&Society","612","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Culture","616","001","","30","3.033","16.7","36.7","23.3","3.3","13.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"Community Development","617","001","","24","3.208","16.7","25.0","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621","001","","29","3.600","37.9","31.0","13.8","3.4",".",".",".","3.4",".",".",".",".",".","10.3",".","."
"Compar IR-Devel Countries I","628","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","18","3.583","38.9","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Social Stratification","633","001","","24","3.438","45.8","8.3","33.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology and Law","641","001","","72","3.007","25.0","13.9","20.8","26.4","9.7","4.2",".",".",".",".",".",".",".",".",".","."
"Modern American Communities","645","001","","17","2.853","11.8","5.9","35.3","35.3","11.8",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","","25","3.348","20.0","32.0","32.0","8.0",".",".",".","8.0",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","","23","3.522","43.5","30.4","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"App Demogrphy-Amer Demgrphy","676","001","","23","3.717","60.9","21.7","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
