"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"574
Veterinary Prev Medicine","001","","78","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Veterinary Medicine I","001","","78","2.827","10.3","7.7","50.0","9.0","19.2","3.8",".",".",".",".",".",".",".",".",".","."
"624
Theriogenology I","001","","77","3.558","58.4",".","39.0",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"670","001","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"670","201","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","51","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"671","001","","27","3.417","37.0",".",".",".",".","3.7","3.7","55.6",".",".",".",".",".",".",".","."
"671","002","","15","4.000","13.3",".",".",".",".",".",".","86.7",".",".",".",".",".",".",".","."
"671","003","","15","4.000","13.3",".",".",".",".",".",".","86.7",".",".",".",".",".",".",".","."
"671","004","","15","4.000","53.3",".",".",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"671","005","","30","3.800","46.7",".",".",".",".","3.3",".","50.0",".",".",".",".",".",".",".","."
"671","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Small Animl Med","Course Total","","103","3.750","35.9",".",".",".",".","1.9","1.0","61.2",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","30","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","23","4.000","21.7",".",".",".",".",".",".","78.3",".",".",".",".",".",".",".","."
"675","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","75","3.813","70.7","21.3","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","003","","11","4.000","27.3",".",".",".",".",".",".","63.6",".",".",".",".","9.1",".",".","."
"675","008","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","009","","68","4.000","1.5",".",".",".",".",".",".","98.5",".",".",".",".",".",".",".","."
"675","010","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","011","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","013","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","226","3.827","25.2","7.1","2.7",".",".",".",".","64.6",".",".",".",".","0.4",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","9","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"701
Production Medicine I","001","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"703
Production Medicine II","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","10","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 363 of 370",""
