"","990
052","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
053","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
054","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","","30","4.000","80.0",".","",".",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"NEUROSCI
682","Dept. Total","","78","3.892","46.2","7.7","",".","1.3","",".","",".","",".","44.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","3.500",".","100.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","6","3.583","50.0","33.3","",".","16.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","7","3.571","42.9","42.9","",".","14.3","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","4","3.625","25.0","75.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","61","4.000","45.9",".","",".",".","",".","",".","",".","54.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","4.000","50.0",".","",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","4","4.000","75.0",".","",".",".","",".","",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","","6","4.000","66.7",".","",".",".","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","78","3.892","46.2","7.7","",".","1.3","",".","",".","",".","44.9","",".",".","",".","",".","",".",".",".","."
