"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","249","2.624","10.8","14.9","16.5","22.1","23.7","7.6","1.6","2.4",".",".",".",".","0.4",".",".","."
"Contemporary Amer Society","125
001","265","2.898","12.8","18.1","34.0","20.4","10.2","1.9","2.6",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","106","3.075","11.3","28.3","35.8","17.0","6.6",".","0.9",".",".",".",".",".",".",".",".","."
"","134
001","377","3.001","15.6","17.8","35.0","18.6","8.8","2.4","0.5","1.1",".",".",".",".","0.3",".",".","."
"","002
134","88","3.337","40.9","28.4","6.8","10.2","6.8","3.4","1.1","2.3",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","465","3.051","20.4","19.8","29.7","17.0","8.4","2.6","0.6","1.3",".",".",".",".","0.2",".",".","."
"","138
001","85","3.440","60.0","16.5","7.1","1.2","4.7","4.7","3.5","1.2",".",".",".",".",".","1.2",".","."
"","138
002","82","3.179","25.6","25.6","24.4","9.8","12.2",".","1.2","1.2",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","167","3.330","43.1","21.0","15.6","5.4","8.4","2.4","2.4","1.2",".",".",".",".",".","0.6",".","."
"","140
001","15","2.800","13.3","26.7","20.0","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","140
002","8","3.286","12.5","37.5","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intro-Rural Sociology","Course Total","23","2.955","13.0","30.4","21.7","13.0","8.7","8.7",".","4.3",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","158","2.674","10.8","15.2","29.1","15.8","20.3","3.8","5.1",".",".",".",".",".",".",".",".","."
"","170
001","21","3.357","19.0","47.6","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","43","3.417","32.6","39.5","16.3","4.7","2.3",".","2.3","2.3",".",".",".",".",".",".",".","."
"Population Problems","Course Total","64","3.397","28.1","42.2","17.2","7.8","1.6",".","1.6","1.6",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","20","3.500","50.0","30.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","199
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.737","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","119","3.305","43.7","18.5","21.8","6.7","1.7","2.5","4.2",".",".",".",".",".",".","0.8",".","."
"Gender & Work-Rural America","215
001","15","3.769","60.0","13.3","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Bascom Course","236
001","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","10","3.500","80.0",".","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Envir, Nat Rsrce & Communty","248
001","28","2.593","21.4","14.3","14.3","7.1","21.4","10.7","7.1",".",".",".",".",".",".","3.6",".","."
"Organizations and Society","250
001","49","3.228","24.5","24.5","26.5","6.1","12.2",".",".","4.1",".",".",".",".","2.0",".",".","."
"Civs of India-Modern Period","252
001","11","3.056","18.2","27.3","27.3",".",".",".","9.1","9.1",".",".",".",".",".","9.1",".","."
"Africa: Introductory Survey","277
001","36","2.700","11.1","11.1","25.0","25.0","19.4","2.8","2.8","2.8",".",".",".",".",".",".",".","."
"Honors Tutorial","288
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","37","3.444","29.7","40.5","16.2","8.1","2.7",".",".",".",".",".",".",".",".",".",".","2.7"
"","002
357","44","3.057","11.4","25.0","47.7","9.1","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"","357
003","38","3.434","39.5","15.8","39.5","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","357
004","36","3.569","41.7","38.9","13.9","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","155","3.360","29.7","29.7","30.3","5.8","2.6","0.6","0.6",".",".",".",".",".",".",".",".","0.6"
"","360
001","42","3.238","28.6","23.8","26.2","14.3","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","360
002","25","3.080","28.0","24.0","20.0","16.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","67","3.179","28.4","23.9","23.9","14.9","4.5","3.0","1.5",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","36","3.556","44.4","41.7","8.3","2.8",".",".","2.8",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","001
362","35","3.438","22.9","42.9","17.1","8.6",".",".",".","5.7",".",".",".",".",".","2.9",".","."
"Computing-Sociologcl Resrch","365
001","15","3.767","80.0",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421
001","104","2.798","13.5","19.2","27.9","15.4","14.4","7.7","1.9",".",".",".",".",".",".",".",".","."
