"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","195","2.508","9.7","11.8","21.5","9.7","29.7","9.2","3.1","3.6","1.0",".",".",".",".","0.5",".","."
"","102
001","14","3.889","57.1",".","7.1",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","102
002","15","3.125","26.7","6.7","13.3","26.7","6.7",".",".","20.0",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","29","3.452","41.4","3.4","10.3","13.8","3.4",".",".","27.6",".",".",".",".",".",".",".","."
"","111
002","25","3.524","32.0","40.0",".","8.0","4.0",".",".","16.0",".",".",".",".",".",".",".","."
"","003
111","24","3.786","54.2","29.2","4.2",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","49","3.655","42.9","34.7","2.0","4.1","2.0",".",".","14.3",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","125
001","43","3.889","18.6",".","2.3",".",".",".",".","76.7",".",".",".",".",".",".","2.3","."
"","127
001","18","3.409","11.1","33.3","11.1","5.6",".",".",".","38.9",".",".",".",".",".",".",".","."
"","127
002","22","3.300","9.1","36.4","9.1","13.6",".",".",".","31.8",".",".",".",".",".",".",".","."
"","127
003","18","3.333","5.6","16.7","5.6","5.6",".",".",".","61.1","5.6",".",".",".",".",".",".","."
"","127
004","20","3.192","5.0","25.0","25.0","10.0",".",".",".","30.0","5.0",".",".",".",".",".",".","."
"Bowling I","Course Total","78","3.300","7.7","28.2","12.8","9.0",".",".",".","39.7","2.6",".",".",".",".",".",".","."
"","129
001","21","3.967","66.7","4.8",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","002
129","23","3.955","91.3",".","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","44","3.959","79.5","2.3","2.3",".",".",".",".","15.9",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","001
130","22","3.083","18.2","4.5","13.6","4.5","13.6",".",".","36.4",".",".",".",".",".","9.1",".","."
"","131
002","15","3.600","40.0","13.3","6.7",".","6.7",".",".","26.7",".",".",".",".",".","6.7",".","."
"","131
003","21","3.438","9.5","19.0","4.8","4.8",".",".",".","61.9",".",".",".",".",".",".",".","."
"","131
004","10","3.438","20.0","30.0","30.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","46","3.500","21.7","19.6","10.9","2.2","2.2",".",".","41.3",".",".",".",".",".","2.2",".","."
"","132
001","20","3.850","35.0","15.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","132
002","29","3.333",".","58.6","6.9","3.4","3.4",".",".","24.1",".",".",".",".",".","3.4",".","."
"","132
003","28","3.063","21.4","21.4","21.4","10.7","3.6","3.6","3.6","14.3",".",".",".",".",".",".",".","."
"","132
004","28","3.310","32.1","25.0","10.7",".",".",".","7.1","25.0",".",".",".",".",".",".",".","."
"","132
005","16","3.767","68.8","12.5","6.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","132
006","20","3.692","30.0","30.0","5.0",".",".",".",".","35.0",".",".",".",".",".",".",".","."
"","132
007","25","3.875","36.0","12.0",".",".",".",".",".","52.0",".",".",".",".",".",".",".","."
"","132
008","24","3.833","20.8",".","4.2",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"","009
132","24","3.300","8.3","33.3","41.7",".",".",".",".","12.5",".",".",".",".",".","4.2",".","."
"","010
132","24","3.522","33.3","33.3","29.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Weight Training","Course Total","238","3.470","26.5","25.2","13.0","2.1","0.8","0.4","1.3","29.8",".",".",".",".",".","0.8",".","."
"","001
133","21","3.412","33.3","19.0","23.8",".",".","4.8",".","9.5",".",".",".",".",".","9.5",".","."
"","133
003","19","3.500","31.6","15.8","31.6",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"","133
004","18","3.333",".","33.3","16.7",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","133
005","23","3.658","34.8","39.1","8.7",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"","133
006","21","3.571","19.0","38.1","9.5",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","102","3.514","24.5","29.4","17.6",".",".","1.0",".","25.5",".",".",".",".",".","2.0",".","."
"","134
001","22","3.275","9.1","36.4","40.9","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"","002
134","14","3.455","14.3","42.9","21.4",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","134
003","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","134
004","20","3.900","45.0",".","5.0",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","134
005","21","3.400","23.8","33.3","33.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","134
006","21","3.500","23.8","42.9","14.3","4.8",".",".",".","14.3",".",".",".",".",".",".",".","."
