"SOCIAL & ADMINISTRATIVE PHA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychosocial Aspects-Pharm","411","001","105","3.086","15.2","26.7","27.6","22.9","6.7","1.0",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","20","3.625","50.0","35.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Drug Marketing","613","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Phcy Management","621","001","13","3.192","30.8","15.4","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Prosem:Social & Behav Phcy","622","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Finance&Reimbursement","630","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Pharmaceutical Market Rsch","711","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","911","001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","990","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
