"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"415","001","","20","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"415","002","","22","3.773","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharm Externship","Course Total","","42","3.643","45.2","42.9","7.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","43","3.558","32.6","48.8","16.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"490
Select Topics-Pharmacy Prac","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"550","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"550","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","Course Total","","5","***","","","","","","","","","","","","","","","",""
"570","001","","32","3.719","71.9","9.4","9.4","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"570","002","","34","3.603","70.6","5.9","5.9","14.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","Course Total","","66","3.659","71.2","7.6","7.6","12.1",".","1.5",".",".",".",".",".",".",".",".",".","."
"600
Interdis Rur Prim Hlth Care","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Radiopharmaceuticals","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"616
Institutional Pharmcy Pract","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"662","001","","23","3.435","30.4","34.8","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"662","002","","18","3.278","33.3","33.3","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"Inpatient Clerkshp&Extrnshp","Course Total","","41","3.366","31.7","34.1","24.4","4.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"663","001","","14","3.404","28.6","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"663","002","","9","3.941","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outpatient Clerkship","Course Total","","23","3.616","52.2","21.7","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"664","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"664","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"665","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nuclear Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"666
Advanced Inpatient Clerkshp","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"670
Veterinary Therapeutics","001","","27","3.848","74.1","22.2",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"723","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"723","002","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renal Pharmacotherapy","Course Total","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
