"OBSTETRICS AND GYNECOLOG Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","",""
"Directed Study","699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","812","001","","71","3.535","26.8","57.7","12.7","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","921","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Inpt-Outpt Clerk-Marshfield","922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Perinatal Clerkship-Milw","923","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reproduct Med Clerkshp-CSC","924","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","925","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"OBS&GYN
436","","Dept. Total","","94","3.573","34.0","50.0","10.6","1.1","1.1",".",".",".",".",".",".",".",".",".",".","3.2"
