"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","29","3.224","37.9","20.7","20.7","3.4","13.8",".","3.4",".",".",".",".",".",".",".",".","."
"401
Survey of Pharmacology","001","","131","3.088","22.1","21.4","29.8","14.5","9.2","1.5","1.5",".",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","117","2.996","15.4","23.9","23.1","19.7","17.9",".",".",".",".",".",".",".",".",".",".","."
"431
Medicinal Chemistry","001","","61","2.451","6.6","3.3","36.1","8.2","37.7","3.3","4.9",".",".",".",".",".",".",".",".","."
"445
Pharmaceut Biotechnology","001","","109","3.124","19.3","16.5","36.7","24.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"458
Drug Delivery Systems","001","","112","2.808","12.5","8.9","22.3","43.8","10.7","1.8",".",".",".",".",".",".",".",".",".","."
"459
Drug Delivery Systems Lab","001","","109","3.761","69.7","16.5","10.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"465
Phmcol:Non-Prescriptn Drugs","001","","75","3.233","16.0","33.3","37.3","8.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"472
Pharmacology II","001","","118","2.890","14.4","14.4","35.6","14.4","17.8","2.5","0.8",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","20","3.741","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","28","3.259","21.4","32.1","25.0","10.7","7.1",".",".","3.6",".",".",".",".",".",".",".","."
"691
Senior Thesis","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","10","3.974","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","3.982","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Special Topics in Pharm Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"780
Special Topics-Pharm Sci","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Topics:Chem-Biol Intrface I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","39","3.985","69.2",".",".","2.6",".",".",".","15.4",".",".",".","12.8",".",".",".","."
