"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","",""
"NURSING","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105","001","90","3.478","37.8","31.1","20.0","7.8","2.2",".",".","1.1",".",".",".",".",".",".",".","."
"Intro to Nursing Practice","212","001","103","3.422","25.2","41.7","27.2","3.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nursing I","219","001","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Independent Reading","299","088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","301","001","55","3.764","60.0","32.7","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","302","001","51","3.500","49.0","15.7","25.5","5.9","3.9",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology & Nursing","310","001","42","3.417","21.4","45.2","31.0",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","312","001","29","3.172","17.2","31.0","27.6","17.2","6.9",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317","001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319","001","32","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322","001","46","3.674","43.5","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332","001","65","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Sexuality","360","001","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401","001","54","2.972","16.7","14.8","22.2","38.9","7.4",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415","001","34","3.132","23.5","17.6","32.4","14.7","11.8",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419","001","59","3.839","72.9","25.4",".",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422","001","26","3.692","53.8","38.5","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","433","001","69","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437","002","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","444","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449","001","27","3.778","70.4","18.5","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","001","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Special Topics in Nursing","","Course Total","37","3.889","75.7","21.6",".",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Clinical Practicum for RN's","519","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perinatal Care-Risk","541","001","9","3.750","55.6","22.2","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","590","001","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","590","002","38","3.395","26.3","34.2","31.6","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"","590","003","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","","Course Total","83","3.570","60.2","18.1","16.9","3.6",".",".",".",".",".",".",".",".","1.2",".",".","."
"Interdis Rur Prim Hlth Care","600","001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612","001","9","3.842","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Mgmt-Adv Nurs Prac","","Course Total","12","3.800","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","001","6","3.676","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","002","6","3.921","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 352 of 370",""
