"POPULATION HEALTH SCIENCE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","",""
"Intro to Biology of Aging","155
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Toxicology I","625
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
001","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
002","10","3.714","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
003","23","3.500","26.1","47.8","17.4","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"","650
004","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
005","23","3.391","30.4","21.7","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
650","22","3.705","40.9","59.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
008","22","3.705","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","139","3.697","50.4","34.5","12.9","1.4",".",".",".",".",".",".",".",".","0.7",".",".","."
"","662
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
662","23","3.886","78.3","13.0","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Intro-Health & Medical Sys","Course Total","24","3.862","75.0","16.7","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Qual-Hlth Care:Eval&Assurnc","703
002","21","3.762","66.7","28.6",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Smr-Contemp Iss:Health Care","719
001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Iss-Hlth Care Admin","731
001","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","797
001","28","3.671","53.6","28.6","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","797
003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy&Meth-Epidemiology","Course Total","50","3.818","74.0","16.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiol-Chronic Diseases","802
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics of Health Policy","879
001","21","3.675","42.9","42.9","9.5",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Hlth Mgmt Ethics&Leadership","889
002","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar","901
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","915
001","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","9","3.925","66.7","11.1",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
