"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Macroeconometric Analysis","436","001","","10","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450","001","","31","3.298","35.5","19.4","29.0","9.7","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Econ Problems-Latin America","462","001","","37","3.108","24.3","21.6","24.3","16.2","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464","001","","19","3.237","21.1","26.3","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Ag Econ Development-Africa","477","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Transportation","502","001","","11","3.000","18.2","18.2","36.4","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"Ind Rel-Develping Countries","552","001","","11","2.909",".","45.5","9.1","27.3","18.2",".",".",".",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tutorial-Rsch Project Dsgn","590","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Compar IR-Devel Countries I","628","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Population and Society","663","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Mathematical Economics I","703","001","","21","3.447","19.0","47.6","19.0","4.8",".",".",".","9.5",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","","41","3.363","14.6","43.9","36.6","2.4",".",".",".",".",".",".",".",".","2.4",".",".","."
"","711","001","","24","3.271","45.8","4.2","33.3","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","711","002","","20","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","44","3.284","34.1","11.4","45.5","4.5","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","712","001","","18","3.278","38.9","11.1","44.4",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","712","002","","15","3.067","13.3","26.7","53.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","33","3.182","27.3","18.2","48.5",".",".",".","6.1",".",".",".",".",".",".",".",".","."
"Econometric Methods","715","001","","20","3.579","55.0",".","40.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 3","719","001","","9","3.625","55.6",".","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","002","","11","3.364","36.4",".","63.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Economics","750","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","7","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development Planning & Adm","771","001","","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","002","","7","3.143","14.3",".","85.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv International Economics","871","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Dev-Theory Stat&Policy","877","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Economic Development","879","002","","9","3.577","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp in Math Econ Theory","901","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","","17","",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 191 of 370",""
