"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","35","3.114","34.3","31.4","14.3","2.9","2.9","8.6","5.7",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","201","3.627","42.8","44.3","9.5",".","0.5",".","1.0",".",".",".",".",".",".","1.0","0.5","0.5"
"","400
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
008","8","3.691","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
014","14","3.828","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
027","9","3.868","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
037","12","3.843","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
039","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
045","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
055","9","3.821","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","070
400","6","3.920","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","92","3.881","79.3","17.4","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","22","3.591","59.1","13.6","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","003
440","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
440","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","101","3.842","78.2","14.9","5.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Skills Devel","458
001","67","3.672","59.7","26.9","9.0","3.0",".",".","1.5",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Field of Social Work","605
001","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","001
640","120","3.833","88.3","5.0","2.5","1.7",".","0.8","1.7",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","642
001","24","3.779","70.8","12.5","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Soc Welfare-Devel Disabilts","644
001","45","3.667","53.3","20.0","17.8","2.2",".",".",".","2.2",".",".",".",".","4.4",".",".","."
"Topics-Contemp Soc Welfare","664
001","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Family Violence","670
001","60","3.283","20.0","28.3","40.0","11.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Human Behavior & Environmnt","711
001","44","3.628","43.2","36.4","18.2",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","712
001","23","3.565","34.8","47.8","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","26","3.813","61.5","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Psychopathology in Soc Wrk","Course Total","49","3.691","49.0","36.7","8.2","2.0",".",".",".",".",".",".",".",".",".",".","4.1","."
"","721
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","721
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Planning Analysis","Course Total","3","***","","","","","","","","","","","","","","","",""
"Assess&Treat Chld&Adolescnt","742
001","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
