"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","114","3.174","14.0","35.1","39.5","6.1","0.9",".","3.5","0.9",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","110","3.046","4.5","32.7","42.7","12.7","2.7","0.9","1.8","1.8",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","390","3.320","31.3","32.6","17.9","9.7","5.1","1.0","1.3","0.8",".",".",".",".",".","0.3",".","."
"Gender & Work-Rural America","215","001","20","3.450","65.0","5.0","15.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","47","3.717","57.4","27.7","10.6","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"Race & Ethnicity-U.S. Women","223","001","45","3.700","53.3","40.0","2.2","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","299","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Topics - Women & Humanities","310","001","36","3.361","16.7","47.2","27.8","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Tpc:Women & Society","320","001","36","3.292","30.6","11.1","47.2","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","39","3.539","25.6","56.4","12.8","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"Gender/Class/Race/Ethn(Hum)","330","001","25","3.420","40.0","20.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Women-Amer Society: 1870 on","354","001","25","3.412","32.0","40.0","8.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","39","3.119","5.1","30.8","46.2","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","44","3.534","34.1","45.5","13.6","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","9","3.222","33.3",".","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","38","3.434","21.1","52.6","18.4","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Women","522","001","39","3.115","25.6","15.4","38.5","7.7","7.7","5.1",".",".",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","43","3.477","60.5","11.6","16.3","4.7",".","4.7","2.3",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","16","3.625","56.3","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Educ&Sex Role Socialization","560","001","26","3.712","57.7","26.9","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.853","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Research","999","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
